model_name,audio_filename,reference_original,hypothesis_original,hypothesis_fixed,wer_before,wer_after
whisper-large-v3_beam5,test_00000.wav,не я делал карты потом я ушел делать яндекс поиск потом этот яндекс поиск стал яндекс браузером там я руководил группой,"Нет, я делал карты, потом я ушел делать Яндекс.Поиск, потом этот Яндекс.Поиск стал Яндекс.Браузером, там я руководил группой.","Нет, я делал карты, потом я ушел делать Яндекс.Поиск, потом этот Яндекс.Поиск стал Яндекс.Браузером, там я руководил группой.",0.0476,0.0476
whisper-large-v3_beam5,test_00001.wav,егор мне перед выпуском уже показывал в гости мы сегодня позвали даню пилина создателя онлайн школы по шахматам skyeng product owner а и сейчас развивает стартап по лидогенерации,"Егор мне перед выпуском уже показывал. В гости мы сегодня позвали Даню Пилина, создателя онлайн-школы по шахматам Skyeng, продакт-оунера и сейчас развивает стартап по лидогенерации.","Егор мне перед выпуском уже показывал. В гости мы сегодня позвали Даню Пилина, создателя онлайн-школы по шахматам Skyeng, продакт-оунера и сейчас развивает стартап по лидогенерации.",0.1071,0.1071
whisper-large-v3_beam5,test_00002.wav,это очень хороший вопрос вот ну вы правы потому что 500 часов на разборах падений вот я достаточно долгое время работал в aws aws очень хорошая практика именно того как мы смотрим на операции различные системы что мы делаем когда они падают что мы делаем когда они не падают что мы делаем чтобы они не падали вот идеально вообще очень хорошо когда они не падают и сейчас я занимаюсь как раз application performance мониторингом в компании datadog то есть,"Очень хороший вопрос. Вы правы по тому, что 500 часов на разборах падений. Я достаточно долгое время работал в AWS. В AWS очень хорошая практика именно того, как мы смотрим на операции различных систем. Что мы делаем, когда они падают, что мы делаем, когда они не падают, что мы делаем, чтобы они не падали. Идеально вообще. Очень хорошо, когда они не падают. И сейчас я занимаюсь как раз Application Performance Monitoring в компании Datadog.","Очень хороший вопрос. Вы правы по тому, что 500 часов на разборах падений. Я достаточно долгое время работал в AWS. В AWS очень хорошая практика именно того, как мы смотрим на операции различных систем: что мы делаем, когда они падают, что мы делаем, когда они не падают, что мы делаем, чтобы они не падали. Идеально вообще. Очень хорошо, когда они не падают. И сейчас я занимаюсь как раз Application Performance Monitoring в компании Datadog.",0.1646,0.1646
whisper-large-v3_beam5,test_00003.wav,мой любимый фокус observability мы понимаем когда системе станет плохо грубо говоря в два часа ночи ваша система упадет с отказом по памяти будьте готовы к этому пожалуйста вот это и есть observability это один ее аспект а второй аспект который для меня на самом деле самый важный обычно мы не знаем что нам нужно знать о системе в тот момент когда мы ее разрабатываем,"Мой любимый фокус обзирвабилити, мы понимаем, когда системе станет плохо. Грубо говоря, в 2 часа ночи ваша система упадет с отказом по памяти. Будьте готовы к этому, пожалуйста. Вот это и есть обзирвабилити, это один ее аспект. А второй аспект, который для меня на самом деле самый важный, обычно мы не знаем, что нам нужно знать о системе в тот момент, когда мы ее разрабатываем.","Мой любимый фокус observability, мы понимаем, когда системе станет плохо. Грубо говоря, в 2 часа ночи ваша система упадет с отказом по памяти. Будьте готовы к этому, пожалуйста. Вот это и есть observability, это один ее аспект. А второй аспект, который для меня на самом деле самый важный, обычно мы не знаем, что нам нужно знать о системе в тот момент, когда мы ее разрабатываем.",0.0462,0.0154
whisper-large-v3_beam5,test_00004.wav,потому что по айдишнику клиента уже можно было как то вот эту пачку транзакций связать из разных микросервисов,Потому что по ID-шнику клиента уже можно было как-то вот эту пачку транзакций связать из разных микросервисов.,Потому что по ID-шнику клиента уже можно было как-то вот эту пачку транзакций связать из разных микросервисов.,0.1111,0.1111
whisper-large-v3_beam5,test_00005.wav,ну и еще вопрос такой важный лицензирования openstt недоступен для построения коммерческих моделей только академических а у голоса sberdevices golos там нету никаких ограничений фактически это лицензия близкая к creative commons share alike лицензии как это формулируется и это хорошо,"Ну и еще вопрос такой важный – лицензирование. OpenSTT недоступен для построения коммерческих моделей, только академических, а у голоса, с BearDevices голос, там нет никаких ограничений, фактически это лицензия близкая к Creative Commons ShareAlike лицензии, в другом немножко формулируется, и это хорошо.","Ну и еще вопрос такой важный – лицензирование. OpenSTT недоступен для построения коммерческих моделей, только академических, а у голоса, с BearDevices, голос там нет никаких ограничений, фактически это лицензия близкая к Creative Commons ShareAlike лицензии, в другом немножко формулируется, и это хорошо.",0.25,0.25
whisper-large-v3_beam5,test_00006.wav,мой любимый фокус observability мы понимаем когда системе станет плохо грубо говоря в два часа ночи ваша система упадет с отказом по памяти будьте готовы к этому пожалуйста вот это и есть observability это один ее аспект а второй аспект который для меня на самом деле самый важный обычно мы не знаем что нам нужно знать о системе в тот момент когда мы ее разрабатываем,"Мой любимый фокус обзирвабилити, мы понимаем, когда системе станет плохо. Грубо говоря, в 2 часа ночи ваша система упадет с отказом по памяти. Будьте готовы к этому, пожалуйста. Вот это и есть обзирвабилити, это один ее аспект. А второй аспект, который для меня на самом деле самый важный, обычно мы не знаем, что нам нужно знать о системе в тот момент, когда мы ее разрабатываем.","Мой любимый фокус observability, мы понимаем, когда системе станет плохо. Грубо говоря, в 2 часа ночи ваша система упадет с отказом по памяти. Будьте готовы к этому, пожалуйста. Вот это и есть observability, это один ее аспект. А второй аспект, который для меня на самом деле самый важный, обычно мы не знаем, что нам нужно знать о системе в тот момент, когда мы ее разрабатываем.",0.0462,0.0154
whisper-large-v3_beam5,test_00007.wav,вот это первый сигнал его некомпетентности самый правильный способ если у вас там что либо заболело вообще что либо это провести диагностику и попробовать вылечить через упражнения,"Вот это первый сигнал его некомпетентности. Самый правильный способ, если у вас там что-либо заболело, вообще что-либо, это провести диагностику и попробовать вылечить через упражнения.","Вот это первый сигнал его некомпетентности. Самый правильный способ, если у вас там что-либо заболело, вообще что-либо, это провести диагностику и попробовать вылечить через упражнения.",0.0,0.0
whisper-large-v3_beam5,test_00008.wav,и вот изначально наша система координат была такова что вот эти клеточки они одинакового размера но потом выяснилось что на самом деле мы расстояние воспринимаем так что чем дальше они от нас эти горы тем расстояние на одну клеточку меньше для нас важно чем вблизи,"И вот изначально наша система координат была такова, что эти клеточки, они одинакового размера. Но потом выяснилось, что на самом деле мы расстояние воспринимаем так, что чем дальше они от нас, эти горы, тем расстояние на одну клеточку меньше для нас важно, чем вблизи.","И вот изначально наша система координат была такова, что эти клеточки, они одинакового размера. Но потом выяснилось, что на самом деле мы расстояние воспринимаем так, что чем дальше они от нас, эти горы, тем расстояние на одну клеточку меньше для нас важно, чем вблизи.",0.0222,0.0222
whisper-large-v3_beam5,test_00009.wav,они просто про разработку и про то как он решает задачи в основном там ruby python чуть чуть shell а однако те подходы которые он использует можно перевести и на свою повседневную жизнь и также на destroyallsoft com есть раздел с выступлениями гарри там есть очень полезный доклад который я всем рекомендую он называется boundaries,"Они просто про разработку и про то, как он решает задачи. В основном там Ruby, Python, чуть-чуть Shell, однако те подходы, которые он использует, можно перевести и на свою повседневную жизнь. И также на destroyallsoftware.com есть раздел с выступлениями Гарри. Там есть очень полезный доклад, который я всем рекомендую, называется Boundaries.","Они просто про разработку и про то, как он решает задачи. В основном там Ruby, Python, чуть-чуть Shell, однако те подходы, которые он использует, можно перевести и на свою повседневную жизнь. И также на destroyallsoftware.com есть раздел с выступлениями Гарри. Там есть очень полезный доклад, который я всем рекомендую, называется Boundaries.",0.0545,0.0545
