model_name,audio_path,audio_filename,source_audio_path,source_audio_filename,augmentation,duration_sec,duration_bucket,reference_original,reference_normalized,hypothesis_raw,hypothesis_normalized,is_correct,wer,cer,rtf,inference_time_sec,gpu_memory_peak_mb
whisper-large-v3_beam1,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00000.wav,test_00000.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00000.wav,test_00000.wav,clean,27.423,long,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,"И вот такая архитектура долгое время доминировала. Ее пытались модифицировать. В 2000-х годах произошел определенный прорыв в области обучения глубоких нейронных сетей с легкой руки Джеффри Хинтона и его ученика Рустама Салахуддинова. И стали активно использовать вместо скрытых марковских моделей на акустико-фантастическом уровне многослойные нейронные сети, либо многослойные персептроны, либо сверточные нейронные сети.",и вот такая архитектура долгое время доминировала ее пытались модифицировать в 2000 х годах произошел определенный прорыв в области обучения глубоких нейронных сетей с легкой руки джеффри хинтона и его ученика рустама салахуддинова и стали активно использовать вместо скрытых марковских моделей на акустико фантастическом уровне многослойные нейронные сети либо многослойные персептроны либо сверточные нейронные сети,False,0.1667,0.0499,0.0446,1.2235,0.0
whisper-large-v3_beam1,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00001.wav,test_00001.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00001.wav,test_00001.wav,clean,27.79,long,то в силу того что люди не способны особенно непрофессионалы в точности напевать мелодии соблюдая высоты тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь вот построить это преобразование то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий будет не очень большой,то в силу того что люди не способны особенно непрофессионалы в точности напевать мелодии соблюдая высоты тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь вот построить это преобразование то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий будет не очень большой,"то в силу того, что люди не способны, особенно не профессионалы, в точности напевать мелодии, соблюдая высоты, тайминги между нотами, а именно на это, я думаю, будет обращать внимание алгоритм, пытаясь построить это преобразование, то здесь мы неизбежно будем сталкиваться с тем, что какой-то диапазон различимых мелодий будет не очень большой.",то в силу того что люди не способны особенно не профессионалы в точности напевать мелодии соблюдая высоты тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь построить это преобразование то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий будет не очень большой,False,0.0577,0.0149,0.0342,0.9515,0.0
whisper-large-v3_beam1,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00002.wav,test_00002.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00002.wav,test_00002.wav,clean,13.748,medium,построить запросы как раз вот между многими хостами одновременно и по большому счёту на этом всё и останавливается то есть люди такие окей у нас логи в централизованном хранилище у нас данные где то в центральном месте,построить запросы как раз вот между многими хостами одновременно и по большому счёту на этом всё и останавливается то есть люди такие окей у нас логи в централизованном хранилище у нас данные где то в центральном месте,"построить запросы как раз между многими хостами одновременно. И, по большому счету, на этом все и останавливается. То есть вы такие, окей, у нас логи в централизованном хранилище, у нас данные где-то в центральном месте.",построить запросы как раз между многими хостами одновременно и по большому счету на этом все и останавливается то есть вы такие окей у нас логи в централизованном хранилище у нас данные где то в центральном месте,False,0.1081,0.0459,0.0488,0.6712,0.0
whisper-large-v3_beam1,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00003.wav,test_00003.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00003.wav,test_00003.wav,clean,16.402,long,то как бы но зачем здесь смотреть в логи прошлой версии системы там всё равно же всё не так работает это уже всё старьё надо новое смотреть вот я бы как раз тут не согласился мне скорее всего понадобятся логи предыдущего состояния системы если что то вдруг выкатили и оно стало работать не так как мы ожидали,то как бы но зачем здесь смотреть в логи прошлой версии системы там всё равно же всё не так работает это уже всё старьё надо новое смотреть вот я бы как раз тут не согласился мне скорее всего понадобятся логи предыдущего состояния системы если что то вдруг выкатили и оно стало работать не так как мы ожидали,"то зачем мне смотреть влоги прошлой версии системы? Там все равно уже все не так работает. Это уже все старье, надо новое смотреть. Вот я как раз тут не согласился. Мне скорее всего понадобятся влоги предыдущего состояния системы, если что-то вдруг выкатили, и оно стало работать не так, как мы ожидали.",то зачем мне смотреть влоги прошлой версии системы там все равно уже все не так работает это уже все старье надо новое смотреть вот я как раз тут не согласился мне скорее всего понадобятся влоги предыдущего состояния системы если что то вдруг выкатили и оно стало работать не так как мы ожидали,False,0.2281,0.0779,0.0481,0.789,0.0
whisper-large-v3_beam1,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00004.wav,test_00004.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00004.wav,test_00004.wav,clean,24.602,long,мой любимый фокус observability мы понимаем когда системе станет плохо грубо говоря в два часа ночи ваша система упадёт с отказом по памяти будьте готовы к этому пожалуйста вот это и есть observability это один её аспект а второй аспект который для меня на самом деле самый важный обычно мы не знаем что нам нужно знать о системе в тот момент когда мы её разрабатываем,мой любимый фокус observability мы понимаем когда системе станет плохо грубо говоря в два часа ночи ваша система упадёт с отказом по памяти будьте готовы к этому пожалуйста вот это и есть observability это один её аспект а второй аспект который для меня на самом деле самый важный обычно мы не знаем что нам нужно знать о системе в тот момент когда мы её разрабатываем,"Мой любимый фокус обзирвабилити, мы понимаем, когда системе станет плохо. Грубо говоря, в 2 часа ночи ваша система упадет с отказом по памяти. Будьте готовы к этому, пожалуйста. Вот это и есть обзирвабилити, это один ее аспект. А второй аспект, который для меня на самом деле самый важный, обычно мы не знаем, что нам нужно знать о системе в тот момент, когда мы ее разрабатываем.",мой любимый фокус обзирвабилити мы понимаем когда системе станет плохо грубо говоря в 2 часа ночи ваша система упадет с отказом по памяти будьте готовы к этому пожалуйста вот это и есть обзирвабилити это один ее аспект а второй аспект который для меня на самом деле самый важный обычно мы не знаем что нам нужно знать о системе в тот момент когда мы ее разрабатываем,False,0.0923,0.087,0.0421,1.0354,0.0
whisper-large-v3_beam1,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00005.wav,test_00005.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00005.wav,test_00005.wav,clean,9.404,medium,и между ними может быть какое то количество дискретных столбиков где каждый столбик это своя частота это если совсем упрощать ну ты что то типа эквалайзера рассказал да да да по сути обычный эквалайзер,и между ними может быть какое то количество дискретных столбиков где каждый столбик это своя частота это если совсем упрощать ну ты что то типа эквалайзера рассказал да да да по сути обычный эквалайзер,"и между ними может быть какое-то количество дискретных столбиков, где каждый столбик — это своя частота, это если совсем упрощать. Ну, ты что-то типа эквалайзера рассказал? Да-да-да, по сути, обычный эквалайзер.",и между ними может быть какое то количество дискретных столбиков где каждый столбик это своя частота это если совсем упрощать ну ты что то типа эквалайзера рассказал да да да по сути обычный эквалайзер,True,0.0,0.0,0.0702,0.6602,0.0
whisper-large-v3_beam1,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00006.wav,test_00006.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00006.wav,test_00006.wav,clean,20.132,long,ну и ещё вопрос такой важный лицензирования openstt недоступен для построения коммерческих моделей только академических а у голоса sberdevices golos там нету никаких ограничений фактически это лицензия близкая к creative commons share alike лицензии как это формулируется и это хорошо,ну и ещё вопрос такой важный лицензирования openstt недоступен для построения коммерческих моделей только академических а у голоса sberdevices golos там нету никаких ограничений фактически это лицензия близкая к creative commons share alike лицензии как это формулируется и это хорошо,"Ну и еще вопрос такой важный – лицензирование. OpenSTT недоступен для построения коммерческих моделей, только академических, а у голоса, с BirdEvice, там нет никаких ограничений, фактически это лицензия близкая к Creative Commons ShareAlike лицензии, в другом немножко формулируется, и это хорошо.",ну и еще вопрос такой важный лицензирование openstt недоступен для построения коммерческих моделей только академических а у голоса с birdevice там нет никаких ограничений фактически это лицензия близкая к creative commons sharealike лицензии в другом немножко формулируется и это хорошо,False,0.25,0.1021,0.0406,0.8174,0.0
whisper-large-v3_beam1,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00007.wav,test_00007.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00007.wav,test_00007.wav,clean,16.534,long,да это отсутствие долго живущих бранчей другими словами отсутствие какого то кода но код сам по себе даже если он не проинтегрирован это ведь не такая уж и проблема казалось бы ну да ну фича неможко пылится на полке ну чуть позже её там юзер получит ну всё так,да это отсутствие долго живущих бранчей другими словами отсутствие какого то кода но код сам по себе даже если он не проинтегрирован это ведь не такая уж и проблема казалось бы ну да ну фича неможко пылится на полке ну чуть позже её там юзер получит ну всё так,"Да, это отсутствие долгоживущей бранчи. Другими словами, отсутствие какого-то кода. Но код сам по себе, даже если он не проинтегрирован, это ведь не такая уж и проблема, казалось бы. Ну да, но фича немножко пылится на полке, но чуть позже ее там юзер получит. Вот все так.",да это отсутствие долгоживущей бранчи другими словами отсутствие какого то кода но код сам по себе даже если он не проинтегрирован это ведь не такая уж и проблема казалось бы ну да но фича немножко пылится на полке но чуть позже ее там юзер получит вот все так,False,0.1837,0.05,0.0507,0.8383,0.0
whisper-large-v3_beam1,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00008.wav,test_00008.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00008.wav,test_00008.wav,clean,8.121,medium,и поэтому использовать их в повседневности не получается мы вынуждены поступать зачастую интуитивно,и поэтому использовать их в повседневности не получается мы вынуждены поступать зачастую интуитивно,И поэтому использовать их в повседневности не получается. Мы вынуждены поступать зачастую интуитивно.,и поэтому использовать их в повседневности не получается мы вынуждены поступать зачастую интуитивно,True,0.0,0.0,0.0462,0.3755,0.0
whisper-large-v3_beam1,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00009.wav,test_00009.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00009.wav,test_00009.wav,clean,26.906,long,краеугольным камнем любых алгоритмов машинного обучения является прежде всего обобщающая способность когда мы обучаем некоторую модель у нас есть обучающая выборка у нас есть функция ошибки и наша задача сводится в общем то к оптимизационной задаче мы минимизируем функцию ошибки по параметрам нашей модели на обучающей выборке но на самом деле хотим то мы не этого мы не обучающую ошибку хотим минимизировать,краеугольным камнем любых алгоритмов машинного обучения является прежде всего обобщающая способность когда мы обучаем некоторую модель у нас есть обучающая выборка у нас есть функция ошибки и наша задача сводится в общем то к оптимизационной задаче мы минимизируем функцию ошибки по параметрам нашей модели на обучающей выборке но на самом деле хотим то мы не этого мы не обучающую ошибку хотим минимизировать,"Краеугольным камнем любых алгоритмов машинного обучения является, прежде всего, обобщающая способность. Когда мы обучаем некоторую модель, у нас есть обучающая выборка, у нас есть функция ошибки, и наша задача сводится к оптимизационной задаче. Мы минимизируем функцию ошибки по параметрам нашей модели на обучающей выборке. Но на самом деле хотим-то мы не этого. Мы не обучающую ошибку хотим минимизировать.",краеугольным камнем любых алгоритмов машинного обучения является прежде всего обобщающая способность когда мы обучаем некоторую модель у нас есть обучающая выборка у нас есть функция ошибки и наша задача сводится к оптимизационной задаче мы минимизируем функцию ошибки по параметрам нашей модели на обучающей выборке но на самом деле хотим то мы не этого мы не обучающую ошибку хотим минимизировать,False,0.0484,0.0269,0.0418,1.1243,0.0
