model_name,audio_path,audio_filename,source_audio_path,source_audio_filename,augmentation,duration_sec,duration_bucket,reference_original,reference_normalized,hypothesis_raw,hypothesis_normalized,is_correct,wer,cer,rtf,inference_time_sec,gpu_memory_peak_mb
whisper-medium-int8_beam5,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00000.wav,test_00000.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00000.wav,test_00000.wav,clean,27.423,long,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,"И вот такая архитектура долгое время доминировала. Её пытались модифицировать. В 2000-е годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки Джеффри Хинтона и его ученика Рустама Салахудинова. И стали активно использовать вместо скрытых марковских моделей на акустикофоническом уровне многослойные нейронные сети, либо многослойные персептроны, либо свёрточные нейронные сети.",и вот такая архитектура долгое время доминировала её пытались модифицировать в 2000 е годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахудинова и стали активно использовать вместо скрытых марковских моделей на акустикофоническом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,False,0.0926,0.038,0.0413,1.1315,0.0
whisper-medium-int8_beam5,C:\Users\dex\Desktop\repos\tts\results\quick_aug\augmented_audio\noise_20db\test_00000.wav,test_00000.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00000.wav,test_00000.wav,noise_20db,27.423,long,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,"И вот такая архитектура долгое время доминировала. Её пытались модифицировать. В 2000-е годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки Джеффри Хинтона и его ученика Рустама Салахудинова. И стали активно использовать место скрытых марковских моделей на акустическом уровне многослойные нейронные сети, либо многослойные персептроны, либо свёрточные нейронные сети.",и вот такая архитектура долгое время доминировала её пытались модифицировать в 2000 е годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахудинова и стали активно использовать место скрытых марковских моделей на акустическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,False,0.1111,0.0546,0.0403,1.1065,0.0
whisper-medium-int8_beam5,C:\Users\dex\Desktop\repos\tts\results\quick_aug\augmented_audio\noise_10db\test_00000.wav,test_00000.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00000.wav,test_00000.wav,noise_10db,27.423,long,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,"И вот такая архитектура долгое время доминировала. Ее пытались модифицировать. В 2000-е годах произошел определенный прорыв в области обучения глубоких нейронных сетей с трех руки Чаффри Хинтона и его ученика Рустама Савахудинова. И стали активно использовать вместо спиртных марковских моделей на акустическом уровне многослойные нейронные сети, либо многослойные персептроны, либо сверточные нейронные сети.",и вот такая архитектура долгое время доминировала ее пытались модифицировать в 2000 е годах произошел определенный прорыв в области обучения глубоких нейронных сетей с трех руки чаффри хинтона и его ученика рустама савахудинова и стали активно использовать вместо спиртных марковских моделей на акустическом уровне многослойные нейронные сети либо многослойные персептроны либо сверточные нейронные сети,False,0.2222,0.095,0.04,1.0983,0.0
whisper-medium-int8_beam5,C:\Users\dex\Desktop\repos\tts\results\quick_aug\augmented_audio\speed_0.95\test_00000.wav,test_00000.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00000.wav,test_00000.wav,speed_0.95,28.866,long,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,"И вот такая архитектура долгое время доминировала. Её пытались модифицировать. В 2000-е годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки Джеффри Хинтона и его ученика Рустама Савахудинова. И стали активно использовать вместо скрытых марковских моделей на акустикофоническом уровне многослойные нейронные сети, либо многослойные персептроны, либо свёрточные нейронные сети.",и вот такая архитектура долгое время доминировала её пытались модифицировать в 2000 е годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама савахудинова и стали активно использовать вместо скрытых марковских моделей на акустикофоническом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,False,0.0926,0.0404,0.0392,1.1315,0.0
whisper-medium-int8_beam5,C:\Users\dex\Desktop\repos\tts\results\quick_aug\augmented_audio\speed_1.05\test_00000.wav,test_00000.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00000.wav,test_00000.wav,speed_1.05,26.117,long,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,"И вот такая архитектура долгое время доминировала. Её пытались модифицировать. В 2000-е годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки Джеффри Хинтона и его ученика Рустама Салахудинова. И стали активно использовать вместо скрытых марковских моделей на акустикофоническом уровне многослойные нейронные сети, либо многослойные персептроны, либо свёрточные нейронные сети.",и вот такая архитектура долгое время доминировала её пытались модифицировать в 2000 е годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахудинова и стали активно использовать вместо скрытых марковских моделей на акустикофоническом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,False,0.0926,0.038,0.0435,1.1356,0.0
whisper-medium-int8_beam5,C:\Users\dex\Desktop\repos\tts\results\quick_aug\augmented_audio\gain_-6db\test_00000.wav,test_00000.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00000.wav,test_00000.wav,gain_-6db,27.423,long,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,"И вот такая архитектура долгое время доминировала. Её пытались модифицировать. В 2000-е годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки Джеффри Хинтона и его ученика Рустама Салахудинова. И стали активно использовать вместо скрытых марковских моделей на акустикофоническом уровне многослойные нейронные сети, либо многослойные персептроны, либо свёрточные нейронные сети.",и вот такая архитектура долгое время доминировала её пытались модифицировать в 2000 е годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахудинова и стали активно использовать вместо скрытых марковских моделей на акустикофоническом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,False,0.0926,0.038,0.0411,1.1264,0.0
whisper-medium-int8_beam5,C:\Users\dex\Desktop\repos\tts\results\quick_aug\augmented_audio\lowpass_4000\test_00000.wav,test_00000.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00000.wav,test_00000.wav,lowpass_4000,27.423,long,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,и вот такая архитектура долгое время доминировала её пытались модифицировать в двухтысячных годах произошёл определённый прорыв в области обучения глубоких нейронных сетей с лёгкой руки джеффри хинтона и его ученика рустама салахутдинова и стали активно использовать вместо скрытых марковских моделей на акустико фонетическом уровне многослойные нейронные сети либо многослойные персептроны либо свёрточные нейронные сети,"И вот такая архитектура долгое время доминировала. Ее пытались модифицировать. В 2000-е годах произошел определенный прорыв в области обучения глубоких нейронных сетей с легкой руки Джеффри Хинтона и его ученика Рустама Салахудинова. И стали активно использовать вместо скрытых марковских моделей на акустико-фанатическом уровне многослойные нейронные сети, либо многослойные персептроны, либо сверточные нейронные сети.",и вот такая архитектура долгое время доминировала ее пытались модифицировать в 2000 е годах произошел определенный прорыв в области обучения глубоких нейронных сетей с легкой руки джеффри хинтона и его ученика рустама салахудинова и стали активно использовать вместо скрытых марковских моделей на акустико фанатическом уровне многослойные нейронные сети либо многослойные персептроны либо сверточные нейронные сети,False,0.1667,0.0475,0.0419,1.1479,0.0
whisper-medium-int8_beam5,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00001.wav,test_00001.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00001.wav,test_00001.wav,clean,27.79,long,то в силу того что люди не способны особенно непрофессионалы в точности напевать мелодии соблюдая высоты тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь вот построить это преобразование то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий будет не очень большой,то в силу того что люди не способны особенно непрофессионалы в точности напевать мелодии соблюдая высоты тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь вот построить это преобразование то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий будет не очень большой,"то в силу того, что люди не способны, особенно не профессионалы, в точности напевать мелодии, соблюдая высоты и тайминги между нотами, а именно на это, я думаю, будет обращать внимание алгоритм, пытаясь построить это приобразование, то здесь мы неизбежно будем сталкиваться с тем, что какой-то диапазон различимых мелодий, он будет не очень большой.",то в силу того что люди не способны особенно не профессионалы в точности напевать мелодии соблюдая высоты и тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь построить это приобразование то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий он будет не очень большой,False,0.1154,0.0328,0.0323,0.8977,0.0
whisper-medium-int8_beam5,C:\Users\dex\Desktop\repos\tts\results\quick_aug\augmented_audio\noise_20db\test_00001.wav,test_00001.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00001.wav,test_00001.wav,noise_20db,27.79,long,то в силу того что люди не способны особенно непрофессионалы в точности напевать мелодии соблюдая высоты тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь вот построить это преобразование то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий будет не очень большой,то в силу того что люди не способны особенно непрофессионалы в точности напевать мелодии соблюдая высоты тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь вот построить это преобразование то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий будет не очень большой,"то в силу того, что люди не способны, особенно не профессионалы, точности напевать мелодии, соблюдая высоты и тайминги между нотами, а именно на это, я думаю, будет обращать внимание алгоритм, пытаясь построить это преподавание, то здесь мы неизбежно будем сталкиваться с тем, что какой-то диапазон различимых мелодий, он будет не очень большой.",то в силу того что люди не способны особенно не профессионалы точности напевать мелодии соблюдая высоты и тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь построить это преподавание то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий он будет не очень большой,False,0.1154,0.0507,0.0318,0.8838,0.0
whisper-medium-int8_beam5,C:\Users\dex\Desktop\repos\tts\results\quick_aug\augmented_audio\noise_10db\test_00001.wav,test_00001.wav,C:\Users\dex\Desktop\repos\tts\data\processed\test\test_00001.wav,test_00001.wav,noise_10db,27.79,long,то в силу того что люди не способны особенно непрофессионалы в точности напевать мелодии соблюдая высоты тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь вот построить это преобразование то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий будет не очень большой,то в силу того что люди не способны особенно непрофессионалы в точности напевать мелодии соблюдая высоты тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь вот построить это преобразование то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий будет не очень большой,"то в силу того, что люди не способны, особенно особенные профессионалы, в точности напевать мелодии, собидая высоты, тайминги между нотами, а именно на это, я думаю, будет обращать внимание алгоритм, пытаясь построить это предпозывание, то здесь мы неизбежно будем сталкиваться с тем, что какой-то диапазон различимых мелодий будет не очень большой,",то в силу того что люди не способны особенно особенные профессионалы в точности напевать мелодии собидая высоты тайминги между нотами а именно на это я думаю будет обращать внимание алгоритм пытаясь построить это предпозывание то здесь мы неизбежно будем сталкиваться с тем что какой то диапазон различимых мелодий будет не очень большой,False,0.0962,0.0567,0.0324,0.8993,0.0
